apl/gnu-apl-mode.el:173:1:Error: Symbol’s value as variable is void: gnu-apl--symbols
lisp/init-auto-complete.el:2:1:Error: Cannot open load file: No such file or directory, auto-complete-config
elpa/chess-2.0.4/chess-uci.el:29:1:Error: Cannot open load file: No such file or directory, chess-common
elpa/chess-2.0.4/chess-var.el:25:1:Error: Cannot open load file: No such file or directory, chess-algebraic
elpa/chess-2.0.4/chess.el:83:1:Error: Cannot open load file: No such file or directory, chess-game
elpa/cider-20170509.208/cider-apropos.el:28:1:Error: Cannot open load file: No such file or directory, cider-doc
elpa/cider-20170509.208/cider-browse-ns.el:38:1:Error: Cannot open load file: No such file or directory, cider-interaction
elpa/cider-20170509.208/cider-classpath.el:26:1:Error: Cannot open load file: No such file or directory, cider-client
elpa/cider-20170509.208/cider-client.el:28:1:Error: Cannot open load file: No such file or directory, spinner
elpa/cider-20170509.208/cider-common.el:28:1:Error: Cannot open load file: No such file or directory, cider-compat
elpa/cider-20170509.208/cider-debug.el:28:1:Error: Cannot open load file: No such file or directory, nrepl-dict
elpa/cider-20170509.208/cider-doc.el:28:1:Error: Cannot open load file: No such file or directory, cider-common
elpa/cider-20170509.208/cider-eldoc.el:34:1:Error: Cannot open load file: No such file or directory, cider-client
elpa/cider-20170509.208/cider-grimoire.el:28:1:Error: Cannot open load file: No such file or directory, cider-client
elpa/cider-20170509.208/cider-inspector.el:32:1:Error: Cannot open load file: No such file or directory, cider-interaction
elpa/cider-20170509.208/cider-interaction.el:34:1:Error: Cannot open load file: No such file or directory, cider-client
elpa/cider-20170509.208/cider-macroexpansion.el:34:1:Error: Cannot open load file: No such file or directory, cider-mode
elpa/cider-20170509.208/cider-mode.el:34:1:Error: Cannot open load file: No such file or directory, clojure-mode
elpa/cider-20170509.208/cider-overlays.el:28:1:Error: Cannot open load file: No such file or directory, cider-common
elpa/cider-20170509.208/cider-popup.el:27:1:Error: Cannot open load file: No such file or directory, cider-compat
elpa/cider-20170509.208/cider-repl-history.el:33:1:Error: Cannot open load file: No such file or directory, cider-compat
elpa/cider-20170509.208/cider-repl.el:34:1:Error: Cannot open load file: No such file or directory, cider-client
elpa/cider-20170509.208/cider-resolve.el:67:1:Error: Cannot open load file: No such file or directory, cider-client
